Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share
10152,CenturyLink,"Indianapolis, IN",2020-07-11T01:45:02.319461Z,78.03598524133477,30.298,26684532.755776312,2473098.586080047,
8738,Xiber LLC,"Indianapolis, IN",2020-07-11T02:00:02.980577Z,78.03598524133477,33.167,81175312.1682545,2459774.8154279287,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T02:15:01.976785Z,78.03598524133477,30.261,77913842.61247166,2465889.802427186,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T02:30:02.078776Z,78.03598524133477,29.642,53865193.09731552,2476879.4640814536,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T02:45:02.874159Z,78.03598524133477,30.087,63356026.82773198,2466515.000094431,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T03:00:02.846131Z,78.03598524133477,30.392,57538316.94068561,2458765.129461423,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T03:15:02.813063Z,78.03598524133477,30.27,46798912.01618072,2445665.0599288256,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T03:30:02.996753Z,78.03598524133477,30.364,53265856.56199611,2469527.8520338982,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T03:45:02.011395Z,78.03598524133477,30.032,58155269.10754185,2496703.4098148895,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T04:00:02.632703Z,78.03598524133477,30.311,69440265.13745987,2466276.742842263,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T04:15:02.718244Z,78.03598524133477,30.17,64027811.17504858,2459858.4901984534,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T04:30:02.785191Z,78.03598524133477,30.377,84476397.22448753,2470244.0436221273,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T04:45:02.662781Z,78.03598524133477,29.941,87241023.6024055,2456350.0308751166,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T05:00:02.981720Z,78.03598524133477,30.087,85085149.42859516,2472420.0060615605,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T05:15:02.059614Z,78.03598524133477,29.927,90333491.36051387,2471244.5006503942,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T05:30:02.417644Z,78.03598524133477,30.349,89690679.90581922,2455073.404744656,
